,FERIHA Task Plan (Q2),,,,
,,,,,
,,,,,
,,,,,
S.No,Task/Activity,Deliverables/Action item,Team Size,Planned Start Date,Planned End Date
,,,,,
1,Codespecification understanding,DSM code specifications,"Aankita,Anugraha",04-04-2017,11-04-2017
2,"Creation of EFEAT,one-to-one features,row features",DSM code specifications,"Aankita,Anugraha",05-04-2017,20-04-2017
3,Config.py: Specifications,Module 2,"Aankita,Anugraha",06-04-2017,27-04-2017
4,Others in DSM code,DSM code specifications,"Aankita,Anugraha",04-04-2017,30-06-2017
5,Prediction: Prediction.py,Module 3,"Aankita,Anugraha",02-05-2017,15-05-2017
6,"Validation of code: solar energy,retail:Vmart dataset and others(From data selection to usable in code)",DSM code specifications,"Aankita,Anugraha",12-04-2017,30-05-2017
7,DSM Code: design document,Design document,"Aankita,Anugraha",26-04-2017,15-06-2017
8,wss-app deploy : DSM code,Module 4,"Aankita,Anugraha and Other Team Members",31-05-2017,30-06-2017
9,Tuning via Gaussian Coupla: module,Module 5,Other Team Members,04-04-2017,30-06-2017
10,Other Requirements,Word/PDF file,Other Team Members,04-04-2017,30-06-2017
11,Other Documentation,Word/PDF/ppt/code specification file,Other Team Members,04-04-2017,30-06-2017
12,PPT & code specifications for Demo,ppt and code,"Aankita,Anugraha",15-05-2017,30-06-2017
